3,20
6,3
7,4
11,4
15,3
16,12
17,11
18,0
19,5
20,0
22,2
23,3
24,0
25,10
26,2
31,9
33,0
34,5
35,10
40,0
46,14
47,1
48,3
50,24
56,2
57,6
58,1
60,2
61,6
62,9
64,0
65,2
67,0
68,3
73,21
74,0
76,1
77,2
80,2
82,30
86,17
87,20
88,0
89,2
94,8
95,0
97,1
98,1
101,2
103,0
106,4
107,8
108,10
111,6
115,2
116,12
118,7
119,0
122,2
123,7
128,5
129,1
130,4
132,1
135,14
136,3
140,0
141,7
142,0
144,8
145,8
146,5
148,4
151,4
154,8
157,1
160,0
162,1
166,10
168,0
169,11
171,1
173,0
174,2
175,4
181,3
182,2
183,0
184,1
187,19
188,2
190,4
191,3
192,3
196,3
197,20
198,4
200,23
201,2
202,2
206,2
211,1
212,2
213,7
215,0
217,0
219,13
220,9
222,11
224,2
225,19
227,0
228,0
231,0
232,2
240,6
241,0
245,1
246,5
250,6
251,0
252,10
258,6
264,4
267,5
269,11
270,3
271,6
275,3
276,7
277,21
278,2
282,10
283,18
284,21
285,15
287,11
288,3
290,1
295,0
297,0
298,62
303,4
306,0
307,0
309,11
310,8
314,3
315,0
316,0
317,7
320,0
324,5
325,12
327,2
330,0
332,2
333,9
336,7
339,3
340,2
341,5
345,11
346,0
347,24
349,0
355,0
356,0
359,3
360,14
361,1
363,32
364,0
365,24
373,12
375,3
376,0
377,0
379,0
380,14
382,25
384,14
385,2
386,4
388,12
389,9
395,5
397,0
399,3
400,6
403,2
404,2
406,0
407,3
408,1
410,0
411,6
412,3
414,0
415,18
416,30
417,0
419,50
420,0
426,6
427,5
428,6
431,18
432,2
434,6
437,0
439,12
444,0
445,9
446,8
447,1
448,2
449,0
452,10
459,34
463,4
467,18
470,7
471,1
472,3
475,6
477,6
479,9
480,5
481,8
484,1
486,2
487,10
489,0
493,2
494,0
495,10
497,2
498,0
499,7
501,16
502,12
503,4
504,27
505,0
509,6
514,0
517,1
520,6
525,0
526,8
527,11
528,1
530,1
531,1
532,0
534,1
535,6
536,0
538,0
541,0
543,2
546,8
549,26
551,20
554,4
557,3
558,8
559,0
560,0
565,5
566,4
568,0
569,1
571,5
576,6
577,3
578,0
581,2
583,3
585,8
588,1
590,8
591,1
592,0
593,0
594,12
595,4
597,5
598,5
599,3
602,24
607,27
609,4
611,33
617,0
618,38
619,110
621,4
622,152
623,28
625,28
626,79
627,12
628,36
629,27
633,86
634,100
639,57
642,2
643,7
644,4
645,0
647,90
648,3
649,9
650,29
653,44
660,10
662,0
668,30
669,22
670,269
671,0
672,56
674,17
676,6
680,7
685,7
692,22
694,0
695,14
698,4
700,59
701,0
704,1
705,9
707,1
709,1
712,0
715,0
716,13
717,0
721,5
723,1
725,3
726,2
728,168
729,61
731,12
732,74
733,9
734,42
736,0
737,0
738,16
739,4
742,0
747,5
748,14
749,1
750,8
752,12
753,6
759,8
769,5
770,11
771,9
773,1
774,1
775,4
778,0
779,0
780,0
783,2
784,2
785,0
786,11
787,1
790,1
793,11
794,13
795,4
796,18
799,4
801,0
805,6
806,0
807,1
809,0
810,2
812,1
815,8
816,0
824,0
826,21
829,14
831,0
836,8
840,1
846,3
847,12
850,0
851,1
852,0
856,1
858,1
861,21
862,2
864,20
866,0
867,36
869,38
870,1
872,26
873,8
874,92
876,13
877,7
880,18
881,3
882,42
883,14
884,2
894,157
895,24
896,63
899,67
900,1
903,29
904,3
906,31
907,4
908,52
909,49
911,0
918,4
920,0
923,0
924,4
925,2
926,0
928,2
930,1
931,0
932,4
933,11
934,18
935,3
939,5
940,6
941,0
943,19
944,0
946,30
948,3
952,4
953,0
957,17
960,1
962,17
966,0
972,3
973,1
974,9
975,25
977,4
980,18
981,4
982,0
984,14
985,0
988,1
991,2
992,9
994,25
995,7
996,1
997,1
999,0
1000,2
1002,2
1004,0
1006,2
1007,2
1008,8
1009,2
1015,1
1016,8
1017,3
1018,0
1019,17
1020,8
1031,0
1032,2
1033,0
1034,0
1038,0
1043,4
1045,27
1049,156
1051,5
1052,31
1053,0
1054,12
1055,1
1058,10
1061,6
1062,7
1064,1
